unitID	licenceNo	accessURL	licenceLimit
5010	DL-5010	https://digital.library.ca/access/5010	1
5011	DL-5011	https://digital.library.ca/access/5011	1
5012	DL-5012	https://digital.library.ca/access/5012	1
5013	DL-5013	https://digital.library.ca/access/5013	3
5014	DL-5014	https://digital.library.ca/access/5014	3
5015	DL-5015	https://digital.library.ca/access/5015	3
5016	DL-5016	https://digital.library.ca/access/5016	3
5017	DL-5017	https://digital.library.ca/access/5017	3
5018	DL-5018	https://digital.library.ca/access/5018	3
5019	DL-5019	https://digital.library.ca/access/5019	3
